path,accents,sentence
common_voice_en_37449741.mp3,United States English,Canada have secured seven quotas in boccia
common_voice_en_37449745.mp3,United States English,He also pioneered the use of dyes in blood to study circulation
common_voice_en_37335700.mp3,United States English,After independence it served as a refugee camp for Tibetans and Bangladeshis
common_voice_en_37335796.mp3,United States English,Small hot dogs called pups are also featured menu items
common_voice_en_37336630.mp3,United States English,There are three Sunday services at Saint Thomas
common_voice_en_37367220.mp3,United States English,After his term expired Guggenheim moved to New York
common_voice_en_37367223.mp3,United States English,Thompson played for a long time in Rob McConnells Boss Brass
common_voice_en_37367225.mp3,United States English,It is today traditionally served with spring pancakes spring onions and sweet bean sauce
common_voice_en_37701241.mp3,United States English,The reigning series leaders in each class are identified by a special jersey
common_voice_en_37701314.mp3,United States English,It has a long history with several relocations along the way
common_voice_en_37701316.mp3,United States English,The conclusion of the race was moved to the following day
common_voice_en_37318134.mp3,Australian English,Ferries He added Coastal Transport simply collects the fares on behalf of the province
common_voice_en_37318159.mp3,Australian English,The name means the oases
common_voice_en_37318168.mp3,Australian English,Emerson is buried in Prospect Hill Cemetery in Millis Massachusetts
common_voice_en_37478287.mp3,United States English,He disembarked his fighting men and besieged the stronghold for several weeks
common_voice_en_37478288.mp3,United States English,Today it remains swamped broken and offlimits adjoining a fishing pier
common_voice_en_37478298.mp3,United States English,Goldstar is considered Tempos flagship brand
common_voice_en_37475745.mp3,Canadian English,India and Israel have also embarked on extensive space cooperation
common_voice_en_37475746.mp3,Canadian English,It is located about north of the city of Hobart
common_voice_en_37475747.mp3,Canadian English,Hilderic was supported by Gunhild Bishop of Maguelonne
common_voice_en_37410585.mp3,England English,It has changed original z to j
common_voice_en_37410614.mp3,England English,Sebastian Klonowic wrote a long poem Flis using the form
common_voice_en_37410616.mp3,England English,He wrote the track with Ed Hill and Jimmy Ritchey
common_voice_en_37368333.mp3,United States English,The first season continues to rerun in many territories
common_voice_en_37368335.mp3,United States English,Therefore the use of the term community edition remains very disputable
common_voice_en_37368338.mp3,United States English,These awards are aired live every year from Nashville Tennessee
common_voice_en_37503726.mp3,United States English,That Vespers is the beginning of Thomas Sunday
common_voice_en_37503727.mp3,United States English,Gaudin managed to hold on and finish in second place ahead of the peloton
common_voice_en_37396529.mp3,England English,Over time his fleet grew to become the citys largest
common_voice_en_37396543.mp3,England English,This is also sometimes referred to as vanity hunting
common_voice_en_37396546.mp3,England English,Contrary to primary stress Finnish secondary stress is quantity sensitive
common_voice_en_37290119.mp3,England English,He was elected to a fellowship of All Souls in the following year
common_voice_en_37290121.mp3,England English,Most are commonly available and are more often seen unused than used
common_voice_en_37290123.mp3,England English,She was born to parents Ellen Belle and Robert Whalley
common_voice_en_37346444.mp3,England English,The Parliament sought to establish compromises and calm animosities
common_voice_en_37346448.mp3,England English,It is situated in the northwestern part of the island
common_voice_en_37346453.mp3,England English,He was a friend of Josef Weinheber
common_voice_en_37473954.mp3,United States English,Only cause its how my brain works
common_voice_en_37473957.mp3,United States English,Its name evolved from Inchadivilla to the present Chaville
common_voice_en_37473958.mp3,United States English,Their golf cart carried a Union Jack making them easy to locate
common_voice_en_37478130.mp3,United States English,Gregorio Quintana and Jorge Redondo were credited as executive producers
common_voice_en_37478131.mp3,United States English,The love of his life is Lucy Brandon
common_voice_en_37478132.mp3,United States English,Draw lines across the connected faces joining adjacent points
common_voice_en_37478133.mp3,United States English,Her father died when she was but four years old
common_voice_en_37360560.mp3,United States English,The conservation of the wooden artifacts is an ongoing problem
common_voice_en_37360564.mp3,United States English,The reservoir is also home to Bartley Sailing Club
common_voice_en_37360566.mp3,United States English,The unit always had their doors open for new competitors from outside of Japan
common_voice_en_37360569.mp3,United States English,However in modern usage they can all be considered synonyms of each other
common_voice_en_37570713.mp3,Canadian English,But the Jutlandic School never had his own critic
common_voice_en_37570718.mp3,Canadian English,They moved in large units to stave off cavalry
common_voice_en_37570727.mp3,Canadian English,The railway station caters to the area called Kalachowki Ferbandar and Ghodapdeo
common_voice_en_37668085.mp3,Canadian English,It is situated in the Reggiano Apennines mountains
common_voice_en_37300591.mp3,England English,Flagler and his family relocated there as well
common_voice_en_37300633.mp3,England English,Outside the main entrance is a sculpture by Takenobu Igarashi
common_voice_en_37300636.mp3,England English,Omaha Steaks also owns an affiliate company World Port Seafood
common_voice_en_37300651.mp3,England English,While the tug was operating on that river she was renamed Alert
common_voice_en_37309789.mp3,England English,Taylors Is Birdsong Music
common_voice_en_37309791.mp3,England English,Its villages include Bowers Hinterleiter Maxatawny Mill Creek Corner and Monterey
common_voice_en_37309792.mp3,England English,AntiSemitic literature is very prosperous in Germany
common_voice_en_37309793.mp3,England English,A vast majority of General Trias residents are Roman Catholics
common_voice_en_37479195.mp3,United States English,He is interred at East Cemetery in Litchfield Connecticut
common_voice_en_37479196.mp3,United States English,He was the founding member of the New Zealand Hammerskins
common_voice_en_37479219.mp3,United States English,He is the subject of the play Fiesco by Friedrich Schiller
common_voice_en_37479249.mp3,United States English,It is a white hygroscopic crystalline solid with a low melting point
common_voice_en_37469768.mp3,United States English,The steep slope of Castle Hill rises from the northwestern side of Mere
common_voice_en_37469769.mp3,United States English,Clearly that means something
common_voice_en_37469772.mp3,United States English,It is northwest of Belfast and halfway between the towns of Ballyclare and Antrim
common_voice_en_37469802.mp3,United States English,The galley is located amidships on the starboard side
common_voice_en_37533535.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Members of the genus are commonly known as oysterwood
common_voice_en_37533573.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",It is also supported by some computational software such as Mathematica
common_voice_en_37533591.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Heinrich Heine was a major contributor to the journal
common_voice_en_37533592.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",The Azalia post office is one of very few located within a business
common_voice_en_37467923.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Air Burundi is wholly owned by the government of Burundi
common_voice_en_37467924.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",It is also designated a historic monument by the French Ministry of Culture
common_voice_en_37467925.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Meanwhile Miller offered The thirdparty stump speech we need
common_voice_en_37467933.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",Crypts in the cervix are also stimulated to produce fertile cervical mucus
common_voice_en_37465611.mp3,United States English,The headquarters is in Reston Virginia
common_voice_en_37465617.mp3,United States English,Gravity feed fuel systems are not immune to vapor lock
common_voice_en_37465618.mp3,United States English,Members in other towns include teachers miners broadcasting staff and chemical workers
common_voice_en_37465619.mp3,United States English,Dave Feeney was the team captain
common_voice_en_37465627.mp3,United States English,Three of the pearls belonged to Elizabeth the First
common_voice_en_37303666.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",In plaintext files there are two common formats
common_voice_en_37303668.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",In Canada similar credentialing and advanced training exists
common_voice_en_37303669.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",The island is rock fringed with its highest point at its northern extremity
common_voice_en_37303686.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",The band has gone through many line up changes over the years
common_voice_en_37303687.mp3,"Southern African (South Africa, Zimbabwe, Namibia)",We must speak and speak loudly against the injustice in our country
common_voice_en_37328969.mp3,England English,Often the top of the mountain is literally covered in clouds
common_voice_en_37328976.mp3,England English,Note that Leachs petrel visit the island but breeding is not proved
common_voice_en_37328977.mp3,England English,He wrote four medical treatises in Arabic and four in Persian
common_voice_en_37329033.mp3,England English,Thousandyearold pit houses petroglyphs and other Fremont artifacts were discovered at Range Creek Utah
common_voice_en_37329040.mp3,England English,MacNeill had an enormous interest in Irish history and immersed himself in its study
common_voice_en_37556502.mp3,United States English,They share the love of praise and flattery with many gods of higher rank
common_voice_en_37556503.mp3,United States English,The series has been collected into two trade paperbacks
common_voice_en_37556504.mp3,United States English,Farrell and Blondell costarred in a total of nine films
common_voice_en_37556505.mp3,United States English,Its plan can still be traced in the sands of the desert
common_voice_en_37556506.mp3,United States English,Let me have health on the earth and live a long time
common_voice_en_37297632.mp3,United States English,Reality television star Scott Disick appeared on two episodes of the series
common_voice_en_37297688.mp3,United States English,Fivestar matches as rated by Meltzer are extremely rare
common_voice_en_37297799.mp3,United States English,He then enrolled in the National University of San Marcos in Lima
common_voice_en_37297807.mp3,United States English,The main members are Atsuko and Katsu
common_voice_en_37297934.mp3,United States English,This may be deliberately exploited for artistic effect
common_voice_en_37402798.mp3,United States English,Future Big Brother houseguest Brittany Martinez appears in the video
common_voice_en_37402801.mp3,United States English,During his last two years he was essentially a figurehead
common_voice_en_37402817.mp3,United States English,To date neither the vendors nor ticketholders have been reimbursed
common_voice_en_37402820.mp3,United States English,She was the daughter of a creole French artillery officer
common_voice_en_37402825.mp3,United States English,The video has been thoroughly studied and is now taught in many acting classes
common_voice_en_37402827.mp3,United States English,This will be the eighth time that curling is on the Olympic program
common_voice_en_37484610.mp3,Australian English,Before that it was equally important for various Native American cultures
common_voice_en_37484611.mp3,Australian English,Moras provocative and highly symbolic offal exhibit caused a stir
common_voice_en_37498101.mp3,Australian English,The organisation is affiliated with the Progressive Alliance
common_voice_en_37517100.mp3,Australian English,Puli pongal is a variant that is made with tamarind and boiled rice
common_voice_en_37521487.mp3,Australian English,The aim of the program was to increase equal opportunities within society
common_voice_en_37636755.mp3,Australian English,As the two settlements are so close they are often treated as one
common_voice_en_37388927.mp3,United States English,Rorvik was born in Circle Montana
common_voice_en_37388938.mp3,United States English,Holliman returned home and finished high school
common_voice_en_37388939.mp3,United States English,It was the first Frenchowned sparkling wine venture in the United States
common_voice_en_37388948.mp3,United States English,The couple have a son and a daughter
common_voice_en_37388949.mp3,United States English,Akram was buried in the Jenin refugee camp graveyard
common_voice_en_37388950.mp3,United States English,He is considered a specialist on sand tracks
common_voice_en_37527117.mp3,United States English,She became a member of Kappa Alpha Theta Gamma Rho chapter fraternity for women
common_voice_en_37527118.mp3,United States English,Hundreds of thousands vanish at the touch of royal digitals
common_voice_en_37527148.mp3,United States English,This is where the great commissioned works were created
common_voice_en_37527169.mp3,United States English,There are mixed feelings towards the new Albanians
common_voice_en_37527208.mp3,United States English,It was bought by David Collischon
common_voice_en_37527211.mp3,United States English,Surikov is named for the Russian painter Vasily Surikov
common_voice_en_37663663.mp3,England English,It is part of City of Lismore
common_voice_en_37663858.mp3,England English,Chromomeres display different properties and behaviours when associated with lampbrush chromosomes
common_voice_en_37663861.mp3,England English,Crawford is part of the Waco Metropolitan Statistical Area
common_voice_en_37663863.mp3,England English,Their chloroplasts absorb a major portion of the light energy used by the leaf
common_voice_en_37663958.mp3,England English,Upon release I Robot received mixed reviews though critics enjoyed Moynahans performance
common_voice_en_37663963.mp3,England English,It issues payments in the form of Commodity Certificates
common_voice_en_37438850.mp3,Australian English,He and Ellen had six children only two of whom survived to adulthood
common_voice_en_37438863.mp3,Australian English,They were told their contracts to work on Diego Garcia had expired
common_voice_en_37438865.mp3,Australian English,It is the northernmost point in Trinidad and Tobago
common_voice_en_37438866.mp3,Australian English,The conversions were completed at FairchildHillers facility in Saint Augustine Florida
common_voice_en_37438872.mp3,Australian English,He was an accomplished violinist
common_voice_en_37438874.mp3,Australian English,Dhalla was born in Winnipeg Manitoba to an immigrant family from Punjab India
common_voice_en_37461056.mp3,United States English,They will read together
common_voice_en_37461065.mp3,United States English,Appell did background vocals session work as a guitarist engineering arranging and producing
common_voice_en_37461067.mp3,United States English,Almost immediately the highway crosses over Black Creek
common_voice_en_37461068.mp3,United States English,The shell is popular with shell collectors partly because of its great size
common_voice_en_37558660.mp3,United States English,The Mojave Pipeline enters the region at the northern Arizona and California border
common_voice_en_37558663.mp3,United States English,The main source of production is agricultural spring water bottling and mining
common_voice_en_37396030.mp3,United States English,He also coauthored Red Storm Rising with Tom Clancy
common_voice_en_37396036.mp3,United States English,Unnos scientific work was influenced by that of Nikola Tesla
common_voice_en_37396050.mp3,United States English,Controls include a centrally mounted control column brake and trim lever
common_voice_en_37396052.mp3,United States English,The only traffic light in town can be found at this intersection
common_voice_en_37396068.mp3,United States English,As a solution to the lastmile problem satellite systems have application and sharing limitations
common_voice_en_37396104.mp3,United States English,It is marked by military parades
common_voice_en_37396118.mp3,United States English,At the top level are the Regions of Senegal and their elected administrative body
common_voice_en_37363967.mp3,United States English,He now presents himself as the young conservative
common_voice_en_37363968.mp3,United States English,Her third single called Asante featured her younger sister Pendo
common_voice_en_37363970.mp3,United States English,One perspective argues that walkthroughs are shared stories for gamers and game fans
common_voice_en_37363976.mp3,United States English,These bala have especially long keys and huge calabashes for amplification
common_voice_en_37363977.mp3,United States English,Sage had been interested in the property long before the condominium conversion was attempted
common_voice_en_37363978.mp3,United States English,It is not known if the two works were intended to be hung together
common_voice_en_37363980.mp3,United States English,The couple traveled to Venice and Rome and settled in Paris
common_voice_en_37503198.mp3,United States English,Well next morning the husband was missing
common_voice_en_37503199.mp3,United States English,The reasons are more political
common_voice_en_37503204.mp3,United States English,Some credit earlier notions of political and juridical authority in Irans Safavid period
common_voice_en_37503220.mp3,United States English,The family seat is Terling Place near Terling Essex
common_voice_en_37503222.mp3,United States English,After retiring Ehiogu founded his own record label Dirty Hit
common_voice_en_37503227.mp3,United States English,Previously this variety was believed to be lost
common_voice_en_37556844.mp3,United States English,The heads are then like thongs and solemn in grain and grapecolour
common_voice_en_37558649.mp3,United States English,The Liberals lost much of their rural support base in this election
common_voice_en_37558652.mp3,United States English,Eight years later the group was reformed and is still active
common_voice_en_37349548.mp3,England English,It is actively opposed to neoliberalism and to the European Union
common_voice_en_37349549.mp3,England English,Youll be playing Dublin Soul
common_voice_en_37349551.mp3,England English,Ar
common_voice_en_37349552.mp3,England English,Allomyrina dichotoma shows a striking sexual dimorphism
common_voice_en_37349562.mp3,England English,Several nativestone churches also remain near downtown with distinctive Victorian fronts
common_voice_en_37349567.mp3,England English,In the second list there also was quorum
common_voice_en_37349574.mp3,England English,Krieg created a mural Home of the Peach with acrylics
common_voice_en_37349578.mp3,England English,The exchange does encourage use of the routeservers
common_voice_en_37349594.mp3,England English,Krasnoye Pole is the nearest rural locality
common_voice_en_37349600.mp3,England English,After the Assyrian conquest the site is not mentioned in any later sources
common_voice_en_37349602.mp3,England English,It is somewhat more condensed than average for a font of its kind
common_voice_en_37410941.mp3,United States English,The novel benefitted from unprecedented publicity and quickly became a bestseller
common_voice_en_37410945.mp3,United States English,An excerpt was published in the October issue of Report on Business Magazine
common_voice_en_37410964.mp3,United States English,To disarm just remove the pressure switch head
common_voice_en_37419039.mp3,United States English,He also appeared in the television film Custody
common_voice_en_37419041.mp3,United States English,The usage of Derry versus Londonderry is still controversial
common_voice_en_37615458.mp3,United States English,Currently Holc is playing in Norway
common_voice_en_37615467.mp3,United States English,The township contains Pine Grove Cemetery
common_voice_en_37615819.mp3,United States English,She left her copyrights and unsold works to the Immaculate Heart College Community
common_voice_en_37679629.mp3,United States English,After the season he moved to Roswell
common_voice_en_37679656.mp3,United States English,Some words contain nonGermanic elements
common_voice_en_37698033.mp3,United States English,In its early years it rebodied lorries
common_voice_en_37740818.mp3,United States English,It then flows southwest bordering Lesothos capital city Maseru
common_voice_en_37740820.mp3,United States English,The Erie Canal is on the south border near Sylvan Beach
common_voice_en_37740821.mp3,United States English,Alternate plans included a city street and constructing a belowgrade freeway
common_voice_en_37740825.mp3,United States English,All these attempts ultimately ended in failure
common_voice_en_37740826.mp3,United States English,William P Carson is the son of former Boyne Falls Mayor William H Carson
common_voice_en_37740827.mp3,United States English,Steel mills and refineries operate near the Indiana shoreline
common_voice_en_37740829.mp3,United States English,Its popularity earned her the nickname Kombucha Girl
common_voice_en_37740831.mp3,United States English,He was educated at the Patrician Academy in Mallow
common_voice_en_37740832.mp3,United States English,Ahern is separated though not divorced from his wife
common_voice_en_37740836.mp3,United States English,As they do not hold commissions they are not required to be saluted
common_voice_en_37740838.mp3,United States English,Germany and Latvia failed to advance
common_voice_en_37345787.mp3,United States English,He wrote poetry in the Croatian language
common_voice_en_37345791.mp3,United States English,A list of bouncer software
common_voice_en_37345796.mp3,United States English,The quantum version of the billiards is readily studied in several ways
common_voice_en_37345850.mp3,United States English,The flowers are arranged in leaf axils in clusters of eight to sixteen
common_voice_en_37345855.mp3,United States English,There are two main straights on the track
common_voice_en_37345856.mp3,United States English,Spilletta raced only once finishing last in a field of three
common_voice_en_37345857.mp3,United States English,The reservoir submerged part of Louisville Tennessee and required modifications to Knoxvilles riverfront
common_voice_en_37345860.mp3,United States English,Across it is the village of College Corner Ohio
common_voice_en_37345861.mp3,United States English,More captive manatees are at the National Park
common_voice_en_37345862.mp3,United States English,Mr Timothy Bloodworth
common_voice_en_37345863.mp3,United States English,The city is served by Southern Regional Hospital
common_voice_en_37345867.mp3,United States English,In Scotland it refers to corporate entities whose legality is peculiar to Scotland
common_voice_en_37489731.mp3,United States English,Kajang has a number of new and old shopping complexes
common_voice_en_37489732.mp3,United States English,The head and underparts of immature birds have dense brown mottling
common_voice_en_37489734.mp3,United States English,He is currently an editor at the Modern Language Association
common_voice_en_37489755.mp3,United States English,There is a public park located in the heart of town
common_voice_en_37489758.mp3,United States English,Both records have a projected shelf life of one billion years
common_voice_en_37489766.mp3,United States English,Its main roads are Sackville Terrace and Scarborough Beach Road
common_voice_en_37489769.mp3,United States English,Her work was such as to attract attention through the country
common_voice_en_37489770.mp3,United States English,Severe erosion occurs along the banks
common_voice_en_37489780.mp3,United States English,The lifeboats rigged the sails to sail to South Africa
common_voice_en_37489789.mp3,United States English,Traditional concepts of sovereignty emphasize separation into territorially independent groups
common_voice_en_37489791.mp3,United States English,His tutor was David Bogue of Gosport
common_voice_en_37489792.mp3,United States English,Many have complex biological relationships with their dispersal agents
common_voice_en_37489798.mp3,United States English,He discovered the underground lake of Marble Arch in Northern Ireland
common_voice_en_37489802.mp3,United States English,He was the son of William Burton Wade a civil engineer
common_voice_en_37489810.mp3,United States English,This is caused by a combination of saturated material and steep slopes
common_voice_en_37388589.mp3,United States English,Two women have been elected mayor Maureen OConnor and Susan Golding consecutively
common_voice_en_37388590.mp3,United States English,At the time it was thought that infectious diseases could not cause an extinction
common_voice_en_37388591.mp3,United States English,The work was originally distributed in pamphlet form by the Lama Foundation
common_voice_en_37388605.mp3,United States English,He met Swiss painter Angelica Kauffman from whom he seems to have received influences
common_voice_en_37388608.mp3,United States English,I read a manuscript very quickly the moment I get it
common_voice_en_37388612.mp3,United States English,The series followed a fairly consistent chronological order of history
common_voice_en_37388623.mp3,United States English,The number suffix corresponds to the overall vertical length of the rail
common_voice_en_37388625.mp3,United States English,The armament was mainly outdated and wornout communication equipment of foreign production
common_voice_en_37388631.mp3,United States English,It is spelled either Wahpaton or Wahpeton for the Dakota Sioux Indian reserves
common_voice_en_37388643.mp3,United States English,This was a controversial choice of symbol
common_voice_en_37388653.mp3,United States English,Foulis would later teach Latin Greek and French in Glasgow
common_voice_en_37388655.mp3,United States English,Voters were able to cast up to five votes
common_voice_en_37388665.mp3,United States English,Many still believe this was an official coverup
common_voice_en_37388671.mp3,United States English,Scottish monarchs made repeated efforts to introduce bishops and two ecclesiastical traditions competed
common_voice_en_37388682.mp3,United States English,He has won many awards
common_voice_en_37388684.mp3,United States English,Later it was called House Party and hosted by John Hassett
common_voice_en_37379016.mp3,United States English,The Christian record company Prim signed Jerusalem without much expectation of success
common_voice_en_37379018.mp3,United States English,Her interests are gourmet cooking flower arranging reading and writing
common_voice_en_37379019.mp3,United States English,Haughton Green is served by three primary schools and a secondary school
common_voice_en_37379020.mp3,United States English,Then the route turns south and tunnels through Guanyin Mountain with Guanyinshan Tunnel
common_voice_en_37688702.mp3,United States English,This is why it was necessary for Christ to take human flesh
common_voice_en_37528124.mp3,England English,It was Maloufs first novel
common_voice_en_37528126.mp3,England English,This species feeds mostly on fungi decaying matter and vegetables
common_voice_en_37528127.mp3,England English,The magazine also covered articles about the British literature and music
common_voice_en_37528184.mp3,England English,Menzoberranzan was caught in a magic dead zone so magic did not work there
common_voice_en_37528197.mp3,England English,There is a low rise near the midpoint of the interior
common_voice_en_37528199.mp3,England English,Toppin redshirted his true freshman season after being ruled academically ineligible to play
common_voice_en_37528212.mp3,England English,Garberville Airport is a public airport located southwest of town
common_voice_en_37528216.mp3,England English,The Garner Stave Company sold miscellaneous items such as farming and manufacturing goods
common_voice_en_37528220.mp3,England English,After the collision the wooden carriages of the vacation train caught fire
common_voice_en_37528232.mp3,England English,No translation with Hiragana is extremely unhelpful for nonJapanese
common_voice_en_37528235.mp3,England English,On this subject he wrote to the king in his own defence
common_voice_en_37528236.mp3,England English,The alternative school of data warehousing is that of Ralph Kimball
common_voice_en_37528305.mp3,England English,In Boscobel Wisconsin he worked as a farmhand and as a tailor
common_voice_en_37528307.mp3,England English,Dramatic images of waves and shafts of sunlight
common_voice_en_37528308.mp3,England English,A small amount of affordable housing will be built
common_voice_en_37528319.mp3,England English,For convenience heritage tramways have also been included
common_voice_en_37528322.mp3,England English,I will tell you a tale he said
common_voice_en_37531076.mp3,England English,Other sports no longer played are water polo and wrestling
common_voice_en_37531079.mp3,England English,Dealt with said the Prime Minister exactly just so but how
common_voice_en_37372118.mp3,United States English,When he disappeared in violation of his probation a bench warrant was issued
common_voice_en_37372121.mp3,United States English,On RottenStone and Emery
common_voice_en_37372129.mp3,United States English,Most of his career was spent in sports car racing
